id,lon,lat,aver,label,canny_edge,pixel_threshold,pixel_entropy,hue_mean,saturation_mean,lightness_mean,building_semantic,sky_semantic,tree_semantic,road_semantic,river_semantic,car_semantic,fence_semantic,ground_semantic,plant_semantic,other_semantic,depth_mean
579,120.2669237,31.48643789,4.246338865,high,0.89222,0.47843,0.78025,0.20476,0.33844,0.41675,0.036287308,0.331886292,0.143410683,0.342515945,1.09E-05,0.033232689,0.000358582,0.008264542,0.016654968,0.016625404,0.3475196
583,120.2672696,31.48574021,4.199615784,high,0.60629,0.56471,0.71812,0.24229,0.16959,0.70003,0.025176048,0.242895126,0.254613876,0.342936515,1.09E-05,0.032765388,0.000596046,0.008478165,0.005996704,0.017525673,0.29858499
588,120.2693553,31.48651168,4.133650908,high,0.61408,0.56078,0.75423,0.29385,0.22629,0.63651,0.00689888,0.333397865,0.162195205,0.225113869,1.00E-05,0.03172493,1.00E-05,0.004343033,0.015855789,0.03317976,0.2896488
590,120.2704802,31.48663607,4.088618518,high,0.79735,0.56471,0.7445,0.23509,0.20857,0.64738,0.036362648,0.270720482,0.203399659,0.344614982,1.00E-05,0.033592224,0.002313614,0.013045311,0.031409264,0.011032104,0.27298822
593,120.2697955,31.48595246,4.02464645,high,0.6081,0.50588,0.73091,0.33243,0.18828,0.61427,0.003135681,0.203605652,0.366502761,0.129504204,1.09E-05,0.03202343,0.001279831,0.016274929,0.027839661,0.03317976,0.19739937
594,120.2707831,31.48628611,4.267745046,high,0.69879,0.5098,0.76705,0.25625,0.23582,0.51813,0.001764297,0.208912849,0.358932495,0.117180824,4.77E-06,0.033733368,0.001279831,0.016274929,0.030366898,0.03317976,0.20567236
595,120.2712172,31.48623305,4.034779815,high,0.43195,0.57255,0.665,0.29661,0.11744,0.74432,0.005048752,0.314367294,0.232453346,0.27041626,1.00E-05,0.027077675,7.72E-05,0.009537697,0.000935555,0.028104782,0.20856397
598,120.271225,31.48597019,4.121063793,high,0.96492,0.4902,0.7749,0.27703,0.28447,0.51021,0.06508255,0.300544739,0.141704559,0.363565445,1.09E-05,0.033965111,6.58E-05,0.003980637,0.009757996,0.007209778,0.26891856
602,120.2707928,31.48608356,4.131699486,high,0.5894,0.68235,0.70267,0.36629,0.16302,0.63864,0.01067543,0.162828445,0.352566719,0.362258911,1.00E-05,0.025728226,1.43E-05,0.014548302,0.00402832,0.011582375,0.30130079
603,120.2708026,31.48588101,4.103582733,high,0.54018,0.63922,0.73465,0.34866,0.21394,0.50838,0.007679939,0.281540871,0.227191925,0.366991043,1.00E-05,0.035202026,0.000230789,0.002703667,0.00861454,0.005260468,0.33808644
604,120.2718957,31.48592309,4.071347402,high,0.51133,0.64706,0.74088,0.33093,0.22521,0.51904,0.099914551,0.193026543,0.249435425,0.224306106,1.00E-05,0.033522606,0.001509666,0.015742302,0.007102013,0.026995659,0.24506123
609,120.2714304,31.48570732,4.155320576,high,0.54574,0.6902,0.68996,0.42554,0.13509,0.67545,0.088578224,0.074681282,0.387039185,0.224900245,1.09E-05,0.03275013,0.00011158,0.016274929,0.015855789,0.003268242,0.30018668
610,120.2717376,31.48625758,4.382124061,high,0.73917,0.68235,0.71328,0.33307,0.11963,0.60793,0.014005661,0.053227425,0.208797932,0.207270622,1.09E-05,0.03280449,0.001279831,0.026794434,0.009032249,0.065330505,0.28778987
611,120.2631929,31.48603672,4.082565609,high,0.56307,0.69412,0.69062,0.42289,0.14614,0.67529,0.060633659,0.202805519,0.181247711,0.315526962,1.00E-05,0.039382935,0.001657486,0.000378609,0.030714035,0.005509377,0.33212945
619,120.2638302,31.48442817,4.146733954,high,0.90725,0.53333,0.75728,0.20188,0.31368,0.54174,0.028502464,0.158045769,0.369451523,0.264247894,1.00E-05,0.03336525,3.62E-05,0.003901482,0.030233383,0.01096344,0.2853747
620,120.2636771,31.48417031,4.087181319,high,0.65716,0.70196,0.69564,0.44668,0.12229,0.66306,0.004658699,0.088150024,0.208797932,0.260800362,4.77E-06,0.035399437,0.001279831,0.016274929,0.015855789,0.01807785,0.2745398
621,120.263524,31.48391245,4.42715384,high,0.85546,0.49804,0.76858,0.19619,0.33213,0.50682,0.003665924,0.204501152,0.310112,0.328113556,1.09E-05,0.031285286,0.001279831,0.023488045,0.007220268,0.030162811,0.25464616
622,120.264278,31.48578602,4.479802951,high,0.51361,0.56471,0.74759,0.28175,0.17719,0.61093,0.00742054,0.261993408,0.284218788,0.26480484,1.09E-05,0.03546524,0.001279831,0.014579773,0.008038521,0.03051281,0.25037415
627,120.2653912,31.48545305,4.446165152,high,0.59109,0.5451,0.73355,0.20232,0.2343,0.59388,0.028711319,0.291481018,0.184594154,0.202581405,1.00E-05,0.033384323,0.00150013,0.016274929,0.015855789,0.03317976,0.34866471
628,120.2657207,31.48544224,4.238769363,high,0.41445,0.53333,0.74171,0.20999,0.23881,0.55759,0.001434326,0.133368492,0.386290551,0.244138717,1.09E-05,0.034822464,0.001033783,0.002421379,0.027498245,0.035396576,0.30099888
629,120.2660501,31.48543143,4.394247318,high,0.39743,0.49804,0.74611,0.22031,0.19221,0.58826,0.001144409,0.12313652,0.393493652,0.276032448,1.00E-05,0.033988953,0.001056671,0.003911018,0.013342857,0.01901722,0.30658731
632,120.2665423,31.48507853,4.303647066,high,0.85836,0.48627,0.76925,0.19998,0.32091,0.48901,0.008493423,0.201805115,0.319957733,0.184817314,1.09E-05,0.041514397,0.000985146,0.008243561,0.015855789,0.05661869,0.25747151
635,120.2669568,31.48540856,4.028285849,high,0.71501,0.5451,0.75486,0.2247,0.33477,0.48964,0.060633659,0.149049759,0.22681427,0.080638886,1.00E-05,0.060150147,1.00E-05,1.00E-05,0.023819923,0.057425499,0.3577026
636,120.2682949,31.48595529,4.203760398,high,0.76863,0.52157,0.75823,0.17927,0.29643,0.58004,0.060633659,0.265526772,0.08531189,0.26799965,1.00E-05,0.034381866,0.000453949,1.00E-05,0.015855789,0.002496719,0.318408
637,120.2686116,31.4859286,4.076151901,high,0.53653,0.52157,0.75588,0.19919,0.31571,0.53968,0.033696175,0.227020264,0.246795654,0.351260185,1.00E-05,0.037323952,0.0004673,0.00113678,0.020769119,0.0195961,0.31145089
639,120.2677953,31.48545664,4.093731888,high,0.57451,0.57647,0.75737,0.22233,0.11875,0.70471,0.004777908,0.20459938,0.315083504,0.242403984,1.43E-05,0.044066429,0.000876427,0.027107239,0.015855789,0.056109428,0.32840617
640,120.2677038,31.48519397,4.14656192,high,0.41194,0.54902,0.75909,0.25829,0.12549,0.69049,0.004055977,0.191080093,0.321360588,0.209840775,1.09E-05,0.033366203,0.001279831,0.016274929,0.023285866,0.0379076,0.31396153
641,120.2689353,31.48556638,4.122755105,high,0.40096,0.54902,0.71904,0.26208,0.13426,0.73954,0.004529953,0.205767632,0.317152977,0.245752334,1.09E-05,0.040878296,0.000270844,0.016274929,0.001333237,0.026941299,0.32446973
642,120.2689421,31.48523084,4.335009819,high,0.63286,0.53725,0.71938,0.21932,0.18691,0.63305,0.002012253,0.205866814,0.316164017,0.283483505,1.00E-05,0.039381027,0.001279831,0.018466949,6.10E-05,0.015334129,0.30828917
643,120.269179,31.48594212,4.052087773,high,0.84773,0.44314,0.76508,0.1882,0.37017,0.42861,0.006433487,0.261079788,0.254058838,0.186788559,1.09E-05,0.022904396,0.001279831,0.003252983,0.015855789,0.03317976,0.28321142
644,120.2694872,31.48594729,4.038259113,high,0.94946,0.65098,0.74331,0.37505,0.14718,0.61603,0.005592346,0.196194649,0.325378418,0.331201553,1.00E-05,0.042469025,1.00E-05,0.008508682,0.015312195,0.010487556,0.27323573
646,120.2694914,31.4858424,4.089747197,high,0.73262,0.49412,0.76713,0.2372,0.10701,0.61538,0.001490593,0.179226875,0.370417595,0.213271142,1.09E-05,0.034108162,0.000515938,0.016274929,0.015855789,0.039265633,0.28768494
647,120.2697955,31.48584521,4.327691555,high,0.61795,0.47451,0.7556,0.27785,0.23733,0.48737,0.036505699,0.160316467,0.309224129,0.349471093,1.00E-05,0.027928352,0.000152588,0.004332542,0.015855789,0.00809288,0.2765658
649,120.2705955,31.48582173,4.212526082,high,0.61346,0.47451,0.77174,0.26875,0.29751,0.50755,1.00E-05,0.164136887,0.367442131,0.191997528,1.09E-05,0.034230232,0.001791954,0.016274929,0.009148598,0.014987946,0.31299846
650,120.270203,31.48594849,4.140378415,high,0.6628,0.47451,0.77735,0.26228,0.22292,0.57085,0.01660347,0.308451653,0.198799133,0.282830239,1.00E-05,0.041208267,0.001279831,0.004598618,0.010821342,0.030738831,0.30042408
651,120.2706104,31.48594452,4.039767153,high,0.73533,0.56078,0.74653,0.19773,0.23841,0.65994,0.004388809,0.242272377,0.273145676,0.212840081,1.09E-05,0.033352851,0.001541138,0.016274929,0.017191887,0.036261559,0.33589647
652,120.270811,31.48556367,4.264733839,high,1.03251,0.55294,0.77256,0.17211,0.31274,0.54518,0.004528999,0.344827652,0.167798042,0.301392555,1.00E-05,0.034010887,0.001279831,0.016274929,1.00E-05,0.03317976,0.29882534
653,120.2708193,31.48524634,4.279408573,high,0.82695,0.46275,0.78158,0.2207,0.30748,0.50307,0.014814377,0.180894852,0.334295273,0.277074814,1.09E-05,0.033078194,0.001279831,0.016274929,0.025547028,0.009346962,0.33870842
654,120.2710564,31.48540824,4.467474116,high,0.65147,0.43137,0.76768,0.20007,0.3785,0.40932,1.00E-05,0.234456062,0.290115357,0.248674393,1.09E-05,0.035840035,0.001279831,0.011277199,0.017363548,0.005020142,0.28595755
655,120.2712494,31.48529636,4.457686767,high,1.00299,0.41961,0.77853,0.19133,0.35529,0.43731,0.009496689,0.342752457,0.158114433,0.317864418,1.09E-05,0.040501595,0.000256538,2.38E-05,0.015855789,0.023844719,0.31671705
660,120.2681166,31.48520626,4.196106355,high,0.82631,0.5451,0.74513,0.22689,0.21702,0.61709,0.002715111,0.21675396,0.291987419,0.354913712,1.00E-05,0.027700424,0.000990868,0.016274929,0.010904312,0.003257751,0.2851496
661,120.2685294,31.48521855,4.046110083,high,0.62065,0.53333,0.76273,0.25871,0.21681,0.60102,9.54E-07,0.257421494,0.257618904,0.355373383,1.00E-05,0.035542488,0.001962662,0.016274929,0.002696037,0.000369072,0.20090082
663,120.2676926,31.48452988,4.28136035,high,0.40531,0.55294,0.71467,0.26657,0.13008,0.73718,0.005927086,0.352972031,0.154596329,0.348323822,1.00E-05,0.043021202,0.001279831,0.003891945,1.00E-05,0.057738304,0.25955296
664,120.2676869,31.48419783,4.34044786,high,0.39793,0.51765,0.72922,0.30652,0.14066,0.68187,0.003515244,0.407388687,0.101301193,0.339302063,1.09E-05,0.031112671,0.001279831,0.001490593,0.001693726,0.065402985,0.27480485
666,120.2693103,31.48472093,4.350272155,high,0.77616,0.5451,0.7698,0.19043,0.29714,0.52612,0.003763199,0.059264183,0.208797932,0.260929108,2.00E-05,0.03413105,0.001279831,0.003860474,0.015281677,0.03317976,0.31220274
668,120.2700073,31.48473059,4.21157321,high,0.71099,0.54118,0.73781,0.22532,0.22752,0.5563,0.000566483,0.339294434,0.181534767,0.360800744,1.00E-05,0.030108452,1.05E-05,0.017715454,1.00E-05,0.006266594,0.23629994
677,120.2708178,31.48501105,4.49377123,high,0.9736,0.4902,0.77035,0.20152,0.29013,0.44151,0.010305405,0.086930275,0.397659302,0.238070488,1.09E-05,0.034705162,0.001279831,0.001630783,0.005623817,0.03317976,0.3267544
686,120.2717444,31.4852507,4.373567388,high,0.53532,0.5451,0.73826,0.20958,0.20225,0.62606,0.001550674,0.101636887,0.208797932,0.247875214,1.09E-05,0.031984329,2.10E-05,0.029663086,0.027999878,0.024697304,0.30728264
687,120.2638103,31.48383097,4.261518423,high,0.99031,0.5098,0.77459,0.2065,0.2507,0.54918,0.006341934,0.077937126,0.208797932,0.24183464,1.09E-05,0.035155296,0.001677513,0.014709473,0.015855789,0.017320633,0.28970752
688,120.2644638,31.48289719,4.281862163,high,1.14815,0.48235,0.77749,0.21666,0.26278,0.51637,0.00554657,0.127425194,0.3895998,0.113972665,1.09E-05,0.034219742,0.000333786,0.015763283,0.031573296,0.027447701,0.2905264
689,120.2647194,31.48264248,4.253635763,high,1.05472,0.53333,0.76891,0.19506,0.24877,0.56048,0.02035141,0.137231827,0.350278855,0.288484573,1.09E-05,0.026839256,0.001279831,0.020589828,0.015855789,0.025126457,0.27531295
690,120.2633755,31.48370343,4.206410639,high,0.99281,0.63137,0.76066,0.19328,0.26195,0.54228,0.048165321,0.207006454,0.272715569,0.293951988,1.00E-05,0.035736084,0.001678467,0.011795998,0.015855789,0.01190567,0.30821438
692,120.2632392,31.48320957,4.019539656,high,0.827,0.54118,0.76922,0.25659,0.26117,0.6176,0.032841682,0.281151772,0.199564934,0.166345596,1.09E-05,0.034183502,0.000803947,0.000339508,0.015855789,0.032932281,0.3115148
693,120.2632019,31.4829648,4.249402476,high,0.53116,0.5098,0.7562,0.23906,0.21516,0.54037,0.085664749,0.303435326,0.119624138,0.156424522,1.09E-05,0.035531045,0.002243042,1.00E-05,0.015855789,0.034515381,0.30744193
695,120.2630486,31.48398247,4.331762943,high,0.9822,0.49804,0.78063,0.18775,0.27728,0.55999,0.076159477,0.275030136,0.163709641,0.166365623,1.00E-05,0.037289619,0.001279831,1.00E-05,0.015855789,0.037138939,0.33900204
696,120.2626813,31.48398811,4.023030097,high,0.58507,0.49412,0.75889,0.32344,0.21398,0.50437,0.060633659,0.272809982,0.090287209,0.283965111,1.00E-05,0.030351639,0.001279831,1.00E-05,0.015855789,0.004530907,0.3934844
697,120.2623141,31.48399374,4.371606602,high,0.55356,0.52157,0.74338,0.327,0.1831,0.54642,0.060633659,0.200741768,0.154776574,0.164576531,1.00E-05,0.033366203,1.91E-05,0.000103951,0.015855789,0.010706902,0.32636223
698,120.2619468,31.48399938,4.066333803,high,1.37521,0.57255,0.77864,0.19294,0.30002,0.50747,0.068470955,0.239171982,0.214514732,0.192635536,1.09E-05,0.039644241,0.001328468,0.000894547,0.015855789,0.015291214,0.35165923
699,120.2616254,31.48396774,4.342476241,high,0.41163,0.58824,0.75305,0.32061,0.17073,0.61168,0.023446083,0.201787949,0.2990942,0.178593635,1.00E-05,0.032093048,0.001279831,0.000198364,0.021221161,0.047326088,0.26030505
701,120.2613912,31.48357329,4.025652997,high,0.92375,0.55294,0.76636,0.2562,0.23987,0.56393,0.060633659,0.227078438,0.159337044,0.168125153,1.09E-05,0.033007622,0.001279831,0.001372337,0.015855789,0.012423515,0.35294445
702,120.2612592,31.48327883,4.13757061,high,0.4042,0.71373,0.70266,0.42839,0.14149,0.67605,0.060814857,0.175223351,0.265327454,0.348768234,1.09E-05,0.029867172,0.001385689,0.005496025,0.018645287,0.02938652,0.32606366
703,120.2611273,31.48298437,4.139600801,high,0.88414,0.51765,0.76319,0.25479,0.22957,0.56093,0.047341347,0.166693687,0.285951614,0.315048218,1.00E-05,0.062476158,0.001279831,0.005586624,0.027279854,0.003294945,0.31930969
704,120.2679555,31.48374784,4.229663728,high,1.10473,0.54118,0.77531,0.19222,0.22781,0.61113,0.010290146,0.20181179,0.339354515,0.289100647,1.09E-05,0.034338952,0.001279831,0.0213871,0.020567894,0.009552002,0.27791104
705,120.2681546,31.48344259,4.052778093,high,0.49231,0.50588,0.77403,0.30622,0.19725,0.67716,0.018162727,0.186722755,0.325894356,0.237473488,1.00E-05,0.033772469,0.000374794,0.012473106,0.015855789,0.059868813,0.24606063
706,120.2683676,31.48337142,4.195658108,high,0.54964,0.51765,0.76099,0.17527,0.25636,0.57931,0.00356102,0.206983566,0.31493187,0.222193718,1.09E-05,0.041353226,0.000889778,0.016274929,0.007863045,0.032642365,0.32174118
707,120.2686425,31.48335656,4.029118299,high,0.52668,0.61176,0.73409,0.2847,0.14282,0.76887,0.006673813,0.339756966,0.174764633,0.317522049,1.00E-05,0.035897255,0.001279831,0.027590752,0.010829926,0.038010597,0.32915308
708,120.2687988,31.48341094,4.137706166,high,0.42325,0.56078,0.7523,0.28316,0.23205,0.68817,0.009781837,0.205213547,0.300695419,0.27009964,1.09E-05,0.035380364,0.001279831,0.005965233,0.015855789,0.048656464,0.3442209
709,120.2689394,31.48352254,4.255726562,high,0.71311,0.57647,0.7575,0.24399,0.30527,0.597,0.003790855,0.350355148,0.171586037,0.330524445,6.68E-06,0.03294754,0.001279831,0.016274929,0.000349045,0.050279617,0.29270847
