id,lon,lat,aver,label,canny_edge,pixel_threshold,pixel_entropy,hue_mean,saturation_mean,lightness_mean,building_semantic,sky_semantic,tree_semantic,road_semantic,river_semantic,car_semantic,fence_semantic,ground_semantic,plant_semantic,other_semantic,depth_mean
859,120.2643142,31.48124255,3.807230582,medium,0.5707,0.54902,0.72962,0.25488,0.17713,0.63707,0.104821205,0.228420258,0.223543167,0.250358582,1.00E-05,0.03284359,0.000700951,0.015613556,0.005835533,0.023450851,0.3509688
860,120.2647552,31.48124997,3.95503737,medium,0.51172,0.70196,0.7097,0.34952,0.1351,0.68203,0.060633659,0.208424568,0.223622322,0.203225136,1.09E-05,0.030477524,0.000185013,0.008148193,0.006637573,0.018122673,0.28248174
861,120.2629352,31.48119977,3.950245741,medium,0.62507,0.55294,0.7026,0.23934,0.17292,0.68307,0.076685905,0.14345932,0.33779335,0.239776611,1.09E-05,0.033883095,0.000814438,0.007722855,0.027098656,0.047494888,0.28869631
862,120.2651861,31.48080673,4.046742753,high,0.68726,0.70588,0.70525,0.41643,0.13316,0.68254,0.070808411,0.192732811,0.310074806,0.194088935,1.09E-05,0.033717155,0.002232552,0.008432388,0.027059555,0.028453827,0.3157452
863,120.2651911,31.48103206,3.831800592,medium,0.74586,0.65882,0.74101,0.39907,0.18383,0.60419,0.074840546,0.17677021,0.288333893,0.183947563,1.09E-05,0.027243614,0.000174522,0.011875153,0.015855789,0.011595726,0.32899556
864,120.2649007,31.48079246,3.351503132,medium,0.8833,0.47451,0.78793,0.19098,0.30091,0.49241,0.060633659,0.107875824,0.141417503,0.178344726,1.09E-05,0.010810852,0.001185417,0.003185272,0.015855789,0.053106308,0.31964924
865,120.2646153,31.48077819,3.928177885,medium,0.80842,0.55686,0.75422,0.17647,0.38984,0.42195,0.060633659,0.25056076,0.110685348,0.116765022,1.00E-05,0.034830093,0.001279831,0.021373749,0.015855789,0.03317976,0.30465536
866,120.2645821,31.48070717,3.785923389,medium,0.91063,0.4902,0.766,0.20057,0.27267,0.57156,0.001382828,0.088323593,0.208797932,0.121227264,1.09E-05,0.03336525,1.00E-05,0.016274929,0.015855789,0.013760567,0.2876936
867,120.2645871,31.48042918,2.726022688,low,0.46581,0.51765,0.73402,0.33303,0.11004,0.66505,0.060633659,0.136183739,0.119076729,0.1159935,1.09E-05,8.49E-05,0.001279831,0.030685425,0.015855789,0.031744957,0.28286815
868,120.2645362,31.48036672,3.631599262,medium,0.46041,0.56078,0.71618,0.28679,0.1788,0.63294,0.060633659,0.206274033,0.103477478,0.114875793,1.09E-05,0.001628876,0.001279831,0.004855156,0.015855789,0.03317976,0.26772501
869,120.2641004,31.4803594,3.394723239,medium,0.37899,0.72549,0.69424,0.37118,0.096388,0.71246,0.060633659,0.213673592,0.060825348,0.094920158,1.09E-05,0.013933182,0.000663757,0.015213966,0.015855789,0.03317976,0.30382671
870,120.2636646,31.48035209,3.57424857,medium,0.37345,0.56863,0.65155,0.22144,0.12579,0.75859,0.060633659,0.226859093,0.049074173,0.156187058,1.09E-05,0.003445626,0.001019478,0.000114441,0.015855789,0.033240318,0.226766
871,120.2663284,31.48123266,3.731292938,medium,0.47728,0.58039,0.72468,0.23603,0.20076,0.64736,0.10830307,0.294784546,0.105043411,0.270165443,1.09E-05,0.053277969,0.001279831,0.031123161,0.017789841,0.020001411,0.31674998
872,120.2667163,31.48123293,4.132066216,high,0.54195,0.64314,0.74014,0.41513,0.098415,0.66097,0.060633659,0.224358559,0.154529571,0.271831512,1.00E-05,0.032964706,0.001279831,0.005239487,0.00938797,0.053812027,0.32918832
873,120.2671041,31.4812332,4.099986889,high,0.42912,0.53725,0.73508,0.30398,0.11122,0.68878,0.075843811,0.303661346,0.133400917,0.307418824,1.00E-05,0.036896706,0.000391006,0.015377045,0.010988235,0.029243469,0.30465424
874,120.2674919,31.48123347,3.903968683,medium,0.53998,0.52157,0.76255,0.29017,0.16099,0.60666,0.060633659,0.162142754,0.259220123,0.195770263,1.00E-05,0.033412933,0.001279831,0.004124641,0.014725685,0.03317976,0.34434922
875,120.2678798,31.48123374,3.398131259,medium,0.63359,0.45098,0.78681,0.3391,0.18324,0.52291,0.060633659,0.146615982,0.208822251,0.153484344,1.00E-05,0.033790588,0.001279831,0.016274929,0.019368172,0.03317976,0.2978605
876,120.2659798,31.48100294,3.717389939,medium,0.40998,0.62745,0.75742,0.48443,0.10005,0.67078,0.121167183,0.143507957,0.287625312,0.161950111,1.09E-05,0.033633232,0.001279831,0.016274929,0.006970406,0.03317976,0.3168891
877,120.2660189,31.48077349,3.751079434,medium,1.07555,0.50196,0.7782,0.20109,0.40069,0.4845,0.094492912,0.225218773,0.228031158,0.125437736,1.09E-05,0.034576416,0.001279831,0.001969337,0.024419785,0.03317976,0.3153238
878,120.2656025,31.48079011,4.151592307,high,0.88298,0.54118,0.79161,0.18794,0.29465,0.5801,0.073091507,0.106609344,0.350795746,0.16422081,1.00E-05,0.033546448,0.000184059,0.016274929,0.015855789,0.03317976,0.25961678
879,120.2660645,31.48049143,4.039637746,high,0.43788,0.61961,0.75634,0.47527,0.11801,0.64132,8.58E-06,0.067458153,0.208797932,0.167438507,1.09E-05,0.030932426,0.000311852,0.00450325,0.015855789,0.022053719,0.25931575
880,120.2661102,31.48020936,3.996969965,medium,0.71979,0.51373,0.7741,0.38172,0.16088,0.57362,0.000256538,0.098201752,0.208797932,0.180435181,1.09E-05,0.029001236,0.00123024,0.016274929,0.015855789,0.007773399,0.2461431
881,120.2662561,31.47988534,3.453687157,medium,0.62861,0.54902,0.73242,0.22223,0.14884,0.66612,0.004372597,0.087591171,0.208797932,0.133779526,1.09E-05,0.017548561,0.001576423,0.016274929,0.010614395,0.052601814,0.25460086
882,120.2682664,31.48089231,4.162862992,high,0.56343,0.49804,0.79031,0.26429,0.19097,0.54594,0.060686111,0.211866379,0.239961624,0.350716591,1.00E-05,0.033168792,0.000679016,1.00E-05,0.015855789,0.004664421,0.24456162
883,120.2682652,31.48055061,4.303339543,high,0.91833,0.47843,0.7722,0.24926,0.32264,0.4227,0.074667931,0.211120605,0.240353584,0.340615273,1.00E-05,0.035320282,0.001865387,1.00E-05,0.015855789,0.002795219,0.28483808
884,120.268264,31.4802089,4.110139884,high,1.0016,0.43529,0.77334,0.22275,0.37095,0.40196,0.027658463,0.279385567,0.210506439,0.389792442,1.00E-05,0.037874221,0.001279831,0.004839897,0.012843132,0.002916336,0.28570082
885,120.2682628,31.4798672,3.682428036,medium,0.82049,0.50196,0.76698,0.20643,0.36307,0.4514,0.107740402,0.360789299,0.061359406,0.150662422,1.91E-06,0.034404754,0.001326561,0.009520531,0.015855789,0.03317976,0.25995717
886,120.2686675,31.48123098,3.961431259,medium,0.9618,0.48627,0.78845,0.21374,0.33809,0.50158,0.074165345,0.329661369,0.134917259,0.200608253,1.09E-05,0.033636093,0.001988411,0.024806976,0.015855789,0.047472954,0.22784326
887,120.2690674,31.48122796,4.055211737,high,0.80016,0.51765,0.79329,0.24959,0.31905,0.53507,0.031839371,0.392121315,0.056248665,0.135928154,1.09E-05,0.034688949,0.001279831,0.011163712,0.015855789,0.03317976,0.24553962
888,120.2694673,31.48122493,3.961963841,medium,0.87836,0.56078,0.7406,0.1902,0.28411,0.63867,0.060633659,0.207251549,0.224089622,0.162528992,1.00E-05,0.042226792,0.000339508,0.027018547,0.002550125,0.003479958,0.26233795
889,120.2700173,31.48124432,4.171219834,high,0.80016,0.51765,0.79329,0.24959,0.31905,0.53507,0.059588432,0.353571892,0.083540917,0.210256577,1.09E-05,0.033869744,0.001279831,0.015120506,0.00953579,0.045845032,0.23900871
890,120.2703938,31.48123234,3.650640203,medium,1.06148,0.54902,0.75844,0.1764,0.25706,0.62224,0.060633659,0.18313694,0.220849991,0.104327202,1.09E-05,0.030183792,0.001279831,0.016274929,0.015855789,0.033952713,0.25871959
